,channel_id,video_id,number_of_views,number_of_likes,CreatedDate,CreatedDatetime
0,UCF_fDSgPpBQuh1MsUTgIARQ,yzTuBuRdAyA,1814712693,10935872,2022-04-27,2022-04-27 16:57:15
1,UCUtZaxDF3hD5VK4xRYFBePQ,oTw8AECmUNA,16776904,470185,2022-04-27,2022-04-27 16:57:20
2,UCxE5jEls-T0QtlTHT8lI1lw,x4drP6Q6p30,3474489,183895,2022-04-27,2022-04-27 16:57:25
3,UCX6OQ3DkcsbYNE6H8uQQuVA,hD1YtmKXNb4,43028256,2459708,2022-04-27,2022-04-27 16:57:28
4,UCSZwSipmufiBGjFk9q3rD-A,sPA3XIbho_A,1155699,33693,2022-04-27,2022-04-27 16:57:33
5,UCX6OQ3DkcsbYNE6H8uQQuVA,LnlKwzc_TNA,52771623,2294948,2022-04-27,2022-04-27 16:57:38
6,UCAuUUnT6oDeKwE6v1NGQxug,YRvf00NooN8,4802881,114988,2022-04-27,2022-04-27 16:57:41
7,UCbzRzJNHx7ZLlJML9BjZQVQ,b4F0YBnVdno,2546395,28108,2022-04-27,2022-04-27 16:57:47
8,UCbAwSkqJ1W_Eg7wr3cp5BUA,XKDhq2UcjIM,1552224,114773,2022-04-27,2022-04-27 16:57:50
9,UCz6PEeVLG1TL6jMRTvSLm4g,aaPorKHXem8,715071,44452,2022-04-27,2022-04-27 16:57:55
10,UC2O6HDtMOZf9FkUAepz9Atg,offDs649-mw,140711,4851,2022-04-27,2022-04-27 16:57:58
11,UC0C-w0YjGpqDXGB8IHb662A,Z_MvkyuOJgk,7619308,321245,2022-04-27,2022-04-27 16:58:04
12,UCIPPMRA040LQr5QPyJEbmXA,QO7e_RiMVQg,8485355,456336,2022-04-27,2022-04-27 16:58:07
13,UCvC4D8onUfXzvjTOM-dBfEA,tgB1wUcmbbw,34323695,1632554,2022-04-27,2022-04-27 16:58:10
14,UChmpTxQ0Gp8KEJKsqzeg9Lg,yQEondeGvKo,18720205,854553,2022-04-27,2022-04-27 16:58:16
15,UCGHZpIpAWJQ-Jy_CeCdXhMA,an0M-wcHw5A,1326010,41716,2022-04-27,2022-04-27 16:58:20
16,UCvbki_2_V6qLvezSxwo13mg,bNhGDDUnNE8,3129613,66961,2022-04-27,2022-04-27 16:58:25
17,UCJg9wBPyKMNA5sRDnvzmkdg,EUtqdkj2Mg0,912416,12415,2022-04-27,2022-04-27 16:58:28
18,UCbOCbp5gXL8jigIBZLqMPrw,H5v3kku4y6Q,86703891,3484670,2022-04-27,2022-04-27 16:58:31
19,UComP_epzeKzvBX156r6pm1Q,X-yIEMduRXk,132550047,1108984,2022-04-27,2022-04-27 16:58:37
20,UCOhtMAg7xh8wv_wUHMgFc-Q,Tc0tLGWIqxA,56806147,1064734,2022-04-27,2022-04-27 16:58:41
21,UC9Z0p8W-IvB_2K_cAQdf7bg,4Q2YBKFDXjQ,189289,6094,2022-04-27,2022-04-27 16:58:44
22,UCuCkxoKLYO_EQ2GeFtbM_bw,UA6UythLlEI,2284223,83560,2022-04-27,2022-04-27 16:58:47
23,UC_SvYP0k05UKiJ_2ndB02IA,Rg3dBosfZ3Y,268664,8247,2022-04-27,2022-04-27 16:58:52
24,UC7cs8q-gJRlGwj4A8OmCmXg,xKdtP3IZbnU,5970,210,2022-04-27,2022-04-27 16:58:55
25,UCTrQ7HXWRRxr7OsOtodr2_w,m8b1y98Ffi8,12029,160,2022-04-27,2022-04-27 16:58:58
26,UCoMdktPbSTixAyNGwb-UYkQ,2kblJAvj8OE,148530,1816,2022-04-27,2022-04-27 16:59:04
27,UCupvZG-5ko_eiXAupbDfxWw,L643uai6k2w,58121,1768,2022-04-27,2022-04-27 16:59:06
28,UCqTwKvjbTENZDGbz2si47ag,-ukm0Y_VhgY,1105863,41510,2022-04-27,2022-04-27 16:59:11
29,UCfzlCWGWYyIQ0aLC5w48gBQ,q59wap1ELQ4,62352,2061,2022-04-27,2022-04-27 16:59:17
30,UCF_fDSgPpBQuh1MsUTgIARQ,yzTuBuRdAyA,1815142899,10939100,2022-04-28,2022-04-28 16:32:30
31,UCUtZaxDF3hD5VK4xRYFBePQ,oTw8AECmUNA,17298542,480407,2022-04-28,2022-04-28 16:32:35
32,UCxE5jEls-T0QtlTHT8lI1lw,x4drP6Q6p30,3664586,189910,2022-04-28,2022-04-28 16:32:38
33,UCX6OQ3DkcsbYNE6H8uQQuVA,hD1YtmKXNb4,43393209,2471227,2022-04-28,2022-04-28 16:32:41
34,UCSZwSipmufiBGjFk9q3rD-A,sPA3XIbho_A,1232576,35217,2022-04-28,2022-04-28 16:32:46
35,UCX6OQ3DkcsbYNE6H8uQQuVA,LnlKwzc_TNA,52962420,2298728,2022-04-28,2022-04-28 16:32:49
36,UCAuUUnT6oDeKwE6v1NGQxug,YRvf00NooN8,5123975,119516,2022-04-28,2022-04-28 16:32:52
37,UCbzRzJNHx7ZLlJML9BjZQVQ,b4F0YBnVdno,2616171,28890,2022-04-28,2022-04-28 16:32:57
38,UCbAwSkqJ1W_Eg7wr3cp5BUA,XKDhq2UcjIM,1708170,121905,2022-04-28,2022-04-28 16:33:00
39,UCz6PEeVLG1TL6jMRTvSLm4g,aaPorKHXem8,785573,51462,2022-04-28,2022-04-28 16:33:05
40,UC2O6HDtMOZf9FkUAepz9Atg,offDs649-mw,154275,5118,2022-04-28,2022-04-28 16:33:08
41,UC0C-w0YjGpqDXGB8IHb662A,Z_MvkyuOJgk,8804068,340323,2022-04-28,2022-04-28 16:33:14
42,UCIPPMRA040LQr5QPyJEbmXA,QO7e_RiMVQg,9282665,478875,2022-04-28,2022-04-28 16:33:17
43,UCvC4D8onUfXzvjTOM-dBfEA,tgB1wUcmbbw,34749204,1640694,2022-04-28,2022-04-28 16:33:20
44,UChmpTxQ0Gp8KEJKsqzeg9Lg,yQEondeGvKo,18851830,857672,2022-04-28,2022-04-28 16:33:25
45,UCGHZpIpAWJQ-Jy_CeCdXhMA,an0M-wcHw5A,1350575,42453,2022-04-28,2022-04-28 16:33:28
